Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (otros)
2018,1,Misiones,103398.0,4570.0
2018,1,Neuquén,97217.0,4297.0
2018,1,Río Negro,139844.0,6181.0
2018,1,Salta,134030.0,5924.0
2018,1,San Juan,115192.0,5091.0
2018,1,San Luis,44327.0,1959.0
2018,1,Santa Cruz,44206.0,1954.0
2018,1,Santa Fe,689027.0,30453.0
2018,1,Santiago del Estero,57141.0,2525.0
2018,1,Tierra del Fuego,33372.0,1475.0
2018,1,Tucumán,214755.0,9491.0
2017,4,Buenos Aires,4881863.0,252240.0
2017,4,Capital Federal,1618260.0,83613.0
2017,4,Catamarca,38665.0,1998.0
2017,4,Chaco,102077.0,5274.0
2017,4,Chubut,122592.0,6334.0
2017,4,Córdoba,704306.0,36391.0
2017,4,Corrientes,102049.0,5273.0
2017,4,Entre Ríos,223126.0,11529.0
2017,4,Formosa,41139.0,2126.0
2017,4,Jujuy,56418.0,2915.0
2017,4,La Pampa,83364.0,4307.0
2017,4,La Rioja,37770.0,1952.0
2017,4,Mendoza,381118.0,19692.0
2017,4,Misiones,115189.0,5952.0
2017,4,Neuquén,101846.0,5262.0
2017,4,Río Negro,145598.0,7523.0
2017,4,Salta,139346.0,7200.0
2017,4,San Juan,114113.0,5896.0
2017,4,San Luis,53797.0,2780.0
2017,4,Santa Cruz,47233.0,2440.0
2017,4,Santa Fe,742944.0,38387.0
2017,4,Santiago del Estero,64481.0,3332.0
2017,4,Tierra del Fuego,38952.0,2013.0
2017,4,Tucumán,211561.0,10931.0
2017,3,Buenos Aires,4780187.0,254342.0
2017,3,Capital Federal,1605054.0,85401.0
2017,3,Catamarca,38840.0,2067.0
2017,3,Chaco,102824.0,5471.0
2017,3,Chubut,118225.0,6290.0
2017,3,Córdoba,704433.0,37481.0
2017,3,Corrientes,102558.0,5457.0
2017,3,Entre Ríos,224703.0,11956.0
2017,3,Formosa,41233.0,2194.0
2017,3,Jujuy,56581.0,3011.0
2017,3,La Pampa,82810.0,4406.0
2017,3,La Rioja,38014.0,2023.0
2017,3,Mendoza,377803.0,20102.0
2017,3,Misiones,110690.0,5890.0
2017,3,Neuquén,101751.0,5414.0
2017,3,Río Negro,143888.0,7656.0
2017,3,Salta,139723.0,7434.0
2017,3,San Juan,112398.0,5980.0
2017,3,San Luis,53793.0,2862.0
2017,3,Santa Cruz,44728.0,2380.0
2017,3,Santa Fe,739999.0,39374.0
2017,3,Santiago del Estero,65541.0,3487.0
2017,3,Tierra del Fuego,38815.0,2065.0
2017,3,Tucumán,211547.0,11256.0
2017,2,Buenos Aires,4916108.0,258319.0
2017,2,Capital Federal,1580199.0,83032.0
2017,2,Catamarca,38551.0,2026.0
2017,2,Chaco,103002.0,5412.0
2017,2,Chubut,115321.0,6060.0
2017,2,Córdoba,703322.0,36956.0
2017,2,Corrientes,102444.0,5383.0
2017,2,Entre Ríos,225017.0,11824.0
2017,2,Formosa,40743.0,2141.0
2017,2,Jujuy,56381.0,2963.0
2017,2,La Pampa,81939.0,4306.0
2017,2,La Rioja,37869.0,1990.0
2017,2,Mendoza,370071.0,19446.0
2017,2,Misiones,110533.0,5808.0
2017,2,Neuquén,98956.0,5200.0
2017,2,Río Negro,141053.0,7412.0
2017,2,Salta,139208.0,7315.0
2017,2,San Juan,107299.0,5638.0
2017,2,San Luis,53178.0,2794.0
2017,2,Santa Cruz,44254.0,2325.0
2017,2,Santa Fe,741843.0,38981.0
2017,2,Santiago del Estero,66024.0,3469.0
2017,2,Tierra del Fuego,37976.0,1995.0
2017,2,Tucumán,210228.0,11047.0
2017,1,Buenos Aires,4872542.0,252249.0
2017,1,Capital Federal,1608800.0,83287.0
2017,1,Catamarca,38665.0,2002.0
